Title,Rental_Price,Rooms,m2,Province,Municipality,Date
"Piso en Alto del Castaño, Narón",480€/mes,2 hab.,72 m²,a-coruna-provincia,Narón,2022-03-03
"Piso en calle de Gómez Ulla, 11, Ensanche - Sar, Santiago de Compostela",650€/mes,1 hab.,35 m²,a-coruna-provincia,Santiago de Compostela,2022-03-03
"Piso en calle Antonio Machado, 4, Suevos-Pastoriza, Arteixo",500€/mes,2 hab.,68 m²,a-coruna-provincia,Arteixo,2022-03-03
"Piso en calle Graxal, Liáns, Oleiros",450€/mes,2 hab.,60 m²,a-coruna-provincia,Oleiros,2022-03-03
"Estudio en calle Campos de Mirabel, 1, Teo",295€/mes,32 m²,Planta 2ª exterior con ascensor,a-coruna-provincia,Teo,2022-03-03
"Piso en CERCA, Los Castros - Castrillón, A Coruña",390€/mes,1 hab.,40 m²,a-coruna-provincia,A Coruña,2022-03-03
"Estudio en calle DE CAMPOS DE MIRABEL, 1, Teo",280€/mes,27 m²,Planta 1ª exterior con ascensor,a-coruna-provincia,Teo,2022-03-03
"Piso en Someso - Matogrande, A Coruña",490€/mes,1 hab.,37 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en calle do Valiño, 63, San Lazaro - Meixonfrio, Santiago de Compostela",650€/mes,3 hab.,90 m²,a-coruna-provincia,Santiago de Compostela,2022-03-03
"Piso en calle Franja, 39, Ciudad Vieja - Centro, A Coruña",500€/mes,1 hab.,47 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en calle Padre José López Calo, 6, Porto do Son",450€/mes,2 hab.,70 m²,a-coruna-provincia,Porto do Son,2022-03-03
"Piso en Ensanche, A Coruña",550€/mes,1 hab.,70 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en calle Poeta Pérez Parallé, 5, Canido, Ferrol",480€/mes,2 hab.,75 m²,a-coruna-provincia,Ferrol,2022-03-03
"Piso en Conxo, Santiago de Compostela",420€/mes,2 hab.,60 m²,a-coruna-provincia,Santiago de Compostela,2022-03-03
"Piso en CL ALCALDE LIAÑO FLORES, 4, Agra del Orzán - Ventorrillo, A Coruña",500€/mes,3 hab.,80 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en calle Comercio, 16, Agra del Orzán - Ventorrillo, A Coruña",400€/mes,2 hab.,80 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en Urbanización Escarabote, 3, Boiro",350€/mes,2 hab.,75 m²,a-coruna-provincia,Boiro,2022-03-03
"Piso en glorieta de América, 36, Juan Flórez-San Pablo, A Coruña",900€/mes,4 hab.,135 m²,a-coruna-provincia,A Coruña,2022-03-03
"Dúplex en Juan Flórez-San Pablo, A Coruña",1.200€/mes,2 hab.,90 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en Fernandez Latorre, Cuatro Caminos - Plaza de la Cubela, A Coruña",800€/mes,3 hab.,120 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en berna, Concheiros - Fontiñas, Santiago de Compostela",700€/mes,4 hab.,120 m²,a-coruna-provincia,Santiago de Compostela,2022-03-03
"Piso en Barrié de la Maza, 34, Juan Flórez-San Pablo, A Coruña",1.200€/mes,2 hab.,100 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en avenida da liberdade, 24, Campus sur - Santa Marta, Santiago de Compostela",700€/mes,2 hab.,80 m²,a-coruna-provincia,Santiago de Compostela,2022-03-03
"Piso en Suevos-Pastoriza, Arteixo",320€/mes,1 hab.,45 m²,a-coruna-provincia,Arteixo,2022-03-03
Piso en Cabanas,500€/mes,3 hab.,80 m²,a-coruna-provincia,Piso en Cabanas,2022-03-03
"Piso en Cuatro Caminos - Plaza de la Cubela, A Coruña",850€/mes,3 hab.,100 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en EMILIO GLEZ LOPEZ, 46, Riazor - Los Rosales, A Coruña",650€/mes,2 hab.,90 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en LOS PLATEROS, 2, Betanzos",420€/mes,2 hab.,80 m²,a-coruna-provincia,Betanzos,2022-03-03
"Piso en diego de muros, Ensanche - Sar, Santiago de Compostela",600€/mes,3 hab.,80 m²,a-coruna-provincia,Santiago de Compostela,2022-03-03
"Piso en calle Enrique Mariñas Romero, Someso - Matogrande, A Coruña",500€/mes,1 hab.,50 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en ronda de montealto, 22, Monte Alto - Zalaeta - Atocha, A Coruña",600€/mes,3 hab.,80 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en plaza Miguel Angel Blanco, 3, Cambre",500€/mes,2 hab.,73 m²,a-coruna-provincia,Cambre,2022-03-03
"Piso en Kenia, 2, Perillo, Oleiros",425€/mes,1 hab.,67 m²,a-coruna-provincia,Oleiros,2022-03-03
"Piso en calle San Andrés, 126, Ensanche, A Coruña",650€/mes,1 hab.,61 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en glorieta de america, Juan Flórez-San Pablo, A Coruña",850€/mes,3 hab.,110 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en travesía de Arteixo, Arteixo",380€/mes,3 hab.,102 m²,a-coruna-provincia,Arteixo,2022-03-03
"Piso en LÁZARO CARDENAS, 30, Eirís, A Coruña",475€/mes,1 hab.,55 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en PZ AREA CENTRAL, 20, San Lazaro - Meixonfrio, Santiago de Compostela",550€/mes,3 hab.,126 m²,a-coruna-provincia,Santiago de Compostela,2022-03-03
"Piso en calle de Tomiño, 11, Campus norte - S.Caetano, Santiago de Compostela",500€/mes,2 hab.,65 m²,a-coruna-provincia,Santiago de Compostela,2022-03-03
"Piso en calle Comandante Fontanes, 6, Ensanche, A Coruña",1.400€/mes,3 hab.,98 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en vazquez de parga, Carballo",360€/mes,2 hab.,92 m²,a-coruna-provincia,Carballo,2022-03-03
"Piso en calle de Eduardo Pondal, 8, Ensanche - Sar, Santiago de Compostela",625€/mes,2 hab.,78 m²,a-coruna-provincia,Santiago de Compostela,2022-03-03
"Estudio en avenida caion, Arteixo",600€/mes,160 m²,Bajo exterior con ascensor,a-coruna-provincia,Arteixo,2022-03-03
"Piso en Rodrigo A. de Santiago, 51, Agra del Orzán - Ventorrillo, A Coruña",520€/mes,2 hab.,80 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en Portádego - Vilaboa Norte, Culleredo",480€/mes,2 hab.,78 m²,a-coruna-provincia,Culleredo,2022-03-03
"Piso en calle Antonio Pedreira Ríos, Agra del Orzán - Ventorrillo, A Coruña",495€/mes,2 hab.,86 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en avenida Novo Mesoiro, 20, Mesoiro, A Coruña",700€/mes,3 hab.,85 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en calle ARENAL, Cabanas",400€/mes,3 hab.,90 m²,a-coruna-provincia,Cabanas,2022-03-03
"Piso en calle Alcalde Espiñeira, 21, Curtis",360€/mes,3 hab.,140 m²,a-coruna-provincia,Curtis,2022-03-03
"Piso en travesía de meicende, 217, Agra del Orzán - Ventorrillo, A Coruña",370€/mes,3 hab.,93 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en calle Miguel Servet, 4, Perillo, Oleiros",550€/mes,2 hab.,70 m²,a-coruna-provincia,Oleiros,2022-03-03
"Chalet pareado en Braña de Someso, 41, Someso - Matogrande, A Coruña",950€/mes,3 hab.,120 m²,a-coruna-provincia,A Coruña,2022-03-03
"Ático en calle da Concha, 8, Carreira - Castiñeiras - Aguiño, Ribeira",400€/mes,1 hab.,66 m²,a-coruna-provincia,Ribeira,2022-03-03
"Piso en calle ORZAN, 49, Monte Alto - Zalaeta - Atocha, A Coruña",800€/mes,2 hab.,90 m²,a-coruna-provincia,A Coruña,2022-03-03
"Dúplex en travesía de Fontaldeiro, 1, Bertamirans, Ames",440€/mes,2 hab.,75 m²,a-coruna-provincia,Ames,2022-03-03
"Piso en Centro, Ferrol",450€/mes,2 hab.,79 m²,a-coruna-provincia,Ferrol,2022-03-03
"Piso en ANGEL RON, Juan Flórez-San Pablo, A Coruña",1.295€/mes,5 hab.,163 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en calle do Pintor Juan Luis, 3, Castiñeiriño - Cruceiro do Sar, Santiago de Compostela",600€/mes,2 hab.,70 m²,a-coruna-provincia,Santiago de Compostela,2022-03-03
"Piso en ronda de Outeiro, 290, Riazor - Los Rosales, A Coruña",600€/mes,3 hab.,79 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en O Milladoiro, Ames",420€/mes,3 hab.,802 m²,a-coruna-provincia,Ames,2022-03-03
"Estudio en calle de Alejandro Novo González, 4, Conxo, Santiago de Compostela",325€/mes,42 m²,Planta 4ª exterior con ascensor,a-coruna-provincia,Santiago de Compostela,2022-03-03
"Dúplex en Simón Bolívar, Riazor - Los Rosales, A Coruña",650€/mes,3 hab.,130 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en Puga y Parga, Cuatro Caminos - Plaza de la Cubela, A Coruña",950€/mes,2 hab.,117 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en Centro, Ferrol",350€/mes,3 hab.,68 m²,a-coruna-provincia,Ferrol,2022-03-03
"Piso en Canido, Ferrol",450€/mes,3 hab.,90 m²,a-coruna-provincia,Ferrol,2022-03-03
"Piso en avenida Barcelona, 29, Campus sur - Santa Marta, Santiago de Compostela",700€/mes,2 hab.,72 m²,a-coruna-provincia,Santiago de Compostela,2022-03-03
"Piso en calle Perez Lugin, Oseiro, Arteixo",400€/mes,2 hab.,72 m²,a-coruna-provincia,Arteixo,2022-03-03
"Piso en calle Cantiño, 12, Cabanas",900€/mes,2 hab.,70 m²,a-coruna-provincia,Cabanas,2022-03-03
"Piso en Porta Nova, Ferrol",360€/mes,3 hab.,93 m²,a-coruna-provincia,Ferrol,2022-03-03
"Piso en calle Cantiño, 12, Cabanas",1.500€/mes,3 hab.,80 m²,a-coruna-provincia,Cabanas,2022-03-03
"Piso en avenida Apostolo Santiago, 6, Arteixo",450€/mes,2 hab.,88 m²,a-coruna-provincia,Arteixo,2022-03-03
"Piso en Mazaricos, s/n, Mazaricos",550€/mes,2 hab.,80 m²,a-coruna-provincia,Mazaricos,2022-03-03
"Piso en avenida Américas, 11, Perillo, Oleiros",1.200€/mes,3 hab.,93 m²,a-coruna-provincia,Oleiros,2022-03-03
"Piso en Praia de Coira, 18, Porto do Son",1.250€/mes,3 hab.,110 m²,a-coruna-provincia,Porto do Son,2022-03-03
"Piso en calle de García Prieto, Conxo, Santiago de Compostela",700€/mes,4 hab.,120 m²,a-coruna-provincia,Santiago de Compostela,2022-03-03
"Piso en A Gándara, Narón",475€/mes,2 hab.,78 m²,a-coruna-provincia,Narón,2022-03-03
"Piso en Santa Uxia de Ribeira, 10, Campus norte - S.Caetano, Santiago de Compostela",550€/mes,3 hab.,80 m²,a-coruna-provincia,Santiago de Compostela,2022-03-03
"Piso en Choupana, 9, Campus sur - Santa Marta, Santiago de Compostela",450€/mes,3 hab.,75 m²,a-coruna-provincia,Santiago de Compostela,2022-03-03
"Piso en Ramón del Cueto, Monte Alto - Zalaeta - Atocha, A Coruña",900€/mes,3 hab.,103 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en Zona Ultramar, Ferrol",320€/mes,2 hab.,70 m²,a-coruna-provincia,Ferrol,2022-03-03
"Piso en Pintor Sotomayor, A Gándara, Narón",475€/mes,2 hab.,80 m²,a-coruna-provincia,Narón,2022-03-03
Piso en Teo,430€/mes,3 hab.,85 m²,a-coruna-provincia,Piso en Teo,2022-03-03
"Piso en calle Ángel Rebollo, 80, Monte Alto - Zalaeta - Atocha, A Coruña",800€/mes,3 hab.,90 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en calle de Montero Ríos, Ensanche - Sar, Santiago de Compostela",1.300€/mes,4 hab.,216 m²,a-coruna-provincia,Santiago de Compostela,2022-03-03
"Piso en Senra, 8, Casco Histórico, Santiago de Compostela",1.500€/mes,6 hab.,200 m²,a-coruna-provincia,Santiago de Compostela,2022-03-03
"Piso en calle Poniente, 15, Carballo",350€/mes,4 hab.,90 m²,a-coruna-provincia,Carballo,2022-03-03
"Casa o chalet independiente en Castelo, 2, Trazo",450€/mes,2 hab.,65 m²,a-coruna-provincia,Trazo,2022-03-03
"Piso en plaza de Pontevedra, 22, Ensanche, A Coruña",1.025€/mes,2 hab.,100 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en calle Franja, 33, Ciudad Vieja - Centro, A Coruña",550€/mes,2 hab.,45 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en Ramon Cabanillas, Os Mallos, A Coruña",480€/mes,2 hab.,68 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en calle Reverendo Padre José Álvarez Cabezas, 2, Riazor - Los Rosales, A Coruña",750€/mes,4 hab.,100 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en calle San Andrés, 141, Ensanche, A Coruña",500€/mes,1 hab.,55 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en angel rebollo, 79, Monte Alto - Zalaeta - Atocha, A Coruña",560€/mes,2 hab.,83 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en MEDICO DURÁN -( JUAN FLOREZ ), 25, Falperra-Santa Lucía, A Coruña",710€/mes,3 hab.,96 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en calle Sadadarriba, Sada",400€/mes,1 hab.,41 m²,a-coruna-provincia,Sada,2022-03-03
"Piso en calle Alcalde Francisco Mosquera, Arteixo",420€/mes,3 hab.,100 m²,a-coruna-provincia,Arteixo,2022-03-03
"Piso en Pelamios, 6, Monte Alto - Zalaeta - Atocha, A Coruña",990€/mes,2 hab.,93 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en avenida de Monelos, Someso - Matogrande, A Coruña",650€/mes,3 hab.,87 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en Fajardo, Ferrol",450€/mes,3 hab.,90 m²,a-coruna-provincia,Ferrol,2022-03-03
"Casa o chalet independiente en Samoedo, 73, Sada",1.800€/mes,6 hab.,750 m²,a-coruna-provincia,Sada,2022-03-03
"Ático en casanova de eiris, s/n, Los Castros - Castrillón, A Coruña",490€/mes,1 hab.,60 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en ronda de Outeiro, 112, Os Mallos, A Coruña",575€/mes,3 hab.,83 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en calle Urbano Lugrís, 3, Oseiro, Arteixo",800€/mes,3 hab.,95 m²,a-coruna-provincia,Arteixo,2022-03-03
"Ático en Ensanche, A Coruña",2.000€/mes,3 hab.,168 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en Juan Flórez, 34, Juan Flórez-San Pablo, A Coruña",1.200€/mes,5 hab.,147 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en calle Lázaro Cárdenas, 46, Eirís, A Coruña",475€/mes,1 hab.,55 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en Emilio Gonzalez López, 44, Riazor - Los Rosales, A Coruña",650€/mes,2 hab.,90 m²,a-coruna-provincia,A Coruña,2022-03-03
"Chalet adosado en plaza de Entrepraciñas, Casco Histórico, Santiago de Compostela",740€/mes,2 hab.,97 m²,a-coruna-provincia,Santiago de Compostela,2022-03-03
"Ático en ALMENDRA, 4, Canido, Ferrol",500€/mes,3 hab.,126 m²,a-coruna-provincia,Ferrol,2022-03-03
"Estudio en Simón Bolivar, Riazor - Los Rosales, A Coruña",555€/mes,50 m²,Planta 8ª exterior con ascensor,a-coruna-provincia,A Coruña,2022-03-03
"Dúplex en Barrié de la Maza, 34, Juan Flórez-San Pablo, A Coruña",1.200€/mes,2 hab.,109 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en Rey abdullah, 12, Juan Flórez-San Pablo, A Coruña",950€/mes,3 hab.,97 m²,a-coruna-provincia,A Coruña,2022-03-03
"Casa o chalet independiente en camino Fiunchedo, 11, Sada",1.800€/mes,5 hab.,309 m²,a-coruna-provincia,Sada,2022-03-03
"Piso en avenida de Montserrat, Eirís, A Coruña",675€/mes,2 hab.,95 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en Fajardo, Ferrol",480€/mes,3 hab.,90 m²,a-coruna-provincia,Ferrol,2022-03-03
"Piso en San José, Monte Alto - Zalaeta - Atocha, A Coruña",525€/mes,1 hab.,60 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en calle do Restollal, 15, Castiñeiriño - Cruceiro do Sar, Santiago de Compostela",600€/mes,2 hab.,75 m²,a-coruna-provincia,Santiago de Compostela,2022-03-03
"Piso en Lázaro Cárdenas, 15, Eirís, A Coruña",675€/mes,2 hab.,66 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en calle Praga, Elviña - A Zapateira, A Coruña",1.000€/mes,3 hab.,140 m²,a-coruna-provincia,A Coruña,2022-03-03
"Dúplex en calle Río Eume, Piñeiros-Freixeiro, Narón",550€/mes,3 hab.,136 m²,a-coruna-provincia,Narón,2022-03-03
"Piso en paseo Profesor Tierno Galván, Acea de Ama - O Burgo, Culleredo",500€/mes,2 hab.,75 m²,a-coruna-provincia,Culleredo,2022-03-03
"Piso en Catabois, A Malata - Catabois - Ciudad Jardín, Ferrol",560€/mes,3 hab.,100 m²,a-coruna-provincia,Ferrol,2022-03-03
"Piso en calle Quenxe, 6, Corcubion",250€/mes,1 hab.,60 m²,a-coruna-provincia,Corcubion,2022-03-03
"Dúplex en avenida Barrié de la Maza, 23, Ensanche, A Coruña",2.000€/mes,3 hab.,160 m²,a-coruna-provincia,A Coruña,2022-03-03
"Piso en Acea de Ama, 12, Acea de Ama - O Burgo, Culleredo",520€/mes,1 hab.,51 m²,a-coruna-provincia,Culleredo,2022-03-03
"Casa o chalet independiente en CONCELLO DE TEO A PALLOZA -, Castiñeiriño - Cruceiro do Sar, Santiago de Compostela",675€/mes,4 hab.,185 m²,a-coruna-provincia,Santiago de Compostela,2022-03-03
